('Video', 'main_category_Journalism', 'USD', 'US', 208, 90, 2017, 7) ('year_launched', 2017)
('Video', 'main_category_Journalism', 'USD', 'US', 14355, 90, 2017, 7) ('goal_level', 14355)
('Video', 'main_category_Journalism', 'USD', 'US', 14355, 90, 2017, 11) ('month_launched', 11)
('Webcomics', 'main_category_Comics', 'USD', 'US', 14355, 90, 2017, 11) ('main_category', 'main_category_Comics')
('Webcomics', 'main_category_Comics', 'USD', 'US', 14355, 90, 2017, 3) ('month_launched', 3)
('Webcomics', 'main_category_Comics', 'USD', 'US', 14355, 60, 2017, 3) ('duration', 60)
('Woodworking', 'main_category_Crafts', 'USD', 'US', 14355, 60, 2017, 3) ('main_category', 'main_category_Crafts')
('Woodworking', 'main_category_Crafts', 'USD', 'US', 14355, 60, 2017, 3) ('goal_level', 14355)
('Woodworking', 'main_category_Crafts', 'USD', 'US', 14355, 60, 2017, 8) ('month_launched', 8)
('Woodworking', 'main_category_Crafts', 'USD', 'US', 14355, 80, 2017, 8) ('duration', 80)
('Woodworking', 'main_category_Crafts', 'USD', 'US', 3651, 80, 2017, 8) ('goal_level', 3651)
('Woodworking', 'main_category_Crafts', 'USD', 'US', 3651, 80, 2017, 8) ('year_launched', 2017)
('Taxidermy', 'main_category_Crafts', 'USD', 'US', 3651, 80, 2017, 8) ('main_category', 'main_category_Crafts')
('Taxidermy', 'main_category_Crafts', 'USD', 'US', 5871, 80, 2017, 8) ('goal_level', 5871)
('Taxidermy', 'main_category_Crafts', 'USD', 'US', 5871, 80, 2017, 10) ('month_launched', 10)
('Taxidermy', 'main_category_Crafts', 'USD', 'US', 5871, 80, 2017, 11) ('month_launched', 11)
('Crochet', 'main_category_Crafts', 'USD', 'US', 5871, 80, 2017, 11) ('category', 'Crochet')
('Crochet', 'main_category_Crafts', 'USD', 'US', 5871, 80, 2017, 9) ('month_launched', 9)
('Jazz', 'main_category_Music', 'USD', 'US', 5871, 80, 2017, 9) ('main_category', 'main_category_Music')
('Jazz', 'main_category_Music', 'USD', 'US', 5871, 80, 2012, 9) ('year_launched', 2012)
('Jazz', 'main_category_Music', 'USD', 'US', 54960, 80, 2012, 9) ('goal_level', 54960)
('Jazz', 'main_category_Music', 'USD', 'US', 54960, 80, 2014, 9) ('year_launched', 2014)
('Jazz', 'main_category_Music', 'USD', 'US', 54960, 90, 2014, 9) ('duration', 90)
('Software', 'main_category_Technology', 'USD', 'US', 54960, 90, 2014, 9) ('main_category', 'main_category_Technology')
('Software', 'main_category_Technology', 'USD', 'US', 54960, 90, 2014, 9) ('currency', 'USD')
('Technology', 'main_category_Technology', 'USD', 'US', 54960, 90, 2014, 9) ('category', 'Technology')
('Hardware', 'main_category_Technology', 'USD', 'US', 54960, 90, 2014, 9) ('category', 'Hardware')
('Hardware', 'main_category_Technology', 'USD', 'US', 54960, 10, 2014, 9) ('duration', 10)
('Hardware', 'main_category_Technology', 'USD', 'US', 54960, 10, 2009, 9) ('year_launched', 2009)
('Hardware', 'main_category_Technology', 'USD', 'US', 54960, 10, 2009, 4) ('month_launched', 4)
('Hardware', 'main_category_Technology', 'USD', 'US', 2932, 10, 2009, 4) ('goal_level', 2932)
('Flight', 'main_category_Technology', 'USD', 'US', 2932, 10, 2009, 4) ('category', 'Flight')
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 2932, 10, 2009, 4) ('main_category', 'main_category_Games')
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 4868, 10, 2009, 4) ('goal_level', 4868)
('Gaming Hardware', 'main_category_Games', 'USD', 'US', 11424, 10, 2009, 4) ('goal_level', 11424)
